"mmsi","Distance_A","Distance_B"
79050,506911.438918734,80104.722767102
92455,671079.478451689,505728.92379159
12000001,3876165.52078493,1215632.82936942
41269518,298031.047119875,251771.267429124
98888890,206320.62513593,32071.0787256374
111111126,0,0
150443127,10029212.8206716,1370451.24944073
200000216,1070068.8230504,340235.501758576
200005873,75762.001759329,15524.8163217989
200008650,5181739.30299196,466348.709267748
200012314,34035.8406235764,15560.7379547815
200016052,2333658.67191721,416701.332476819
200016065,30572.7617165297,18204.5554393419
200016069,126279.269215809,65108.5750609309
200020753,49300.7024093845,32285.7089242189
200020783,31979.3697619937,19982.0456269664
200020789,47575.4241651516,4294.25576560192
200021400,1770098.92125318,1091761.64775956
200021405,1138508.3688699,268952.953935003
200021416,1624399.70364044,752939.966158109
200021422,1199905.41347952,122532.262871874
200021441,344024.79852781,235473.788915193
200023344,1051536.54070215,114499.352800314
200023437,538134.703976086,166166.768979429
200023459,279755.91300398,122907.202949733
200023608,51308.2097768986,33739.4119164172
200041771,59583.7621893331,20594.3723644205
200042240,208755.618995158,89466.389042471
200995958,31827.603749337,15160.1026942188
201601251,194705.485282388,134164.091093193
201601318,297022.884230511,110963.291743204
201601321,691489.172027773,290938.779025268
201601542,215242.250893956,190302.375780696
201601665,872215.331192268,149933.562768449
201700001,41826.1368273923,13406.9191188203
201706140,1092993.64528579,105865.182846933
201707002,1022739.63291706,248738.619878148
201708106,663348.553585571,268080.038918085
205615410,7410053.00472427,648844.970370715
212121212,2289373.37467649,271651.033367543
224015550,2620715.71129572,1089011.86164355
224017000,1982007.16043266,1597797.23797266
224050000,1888501.88265523,457718.181362491
224051350,2200827.54943228,1239461.35055043
224085000,1951579.40638797,384839.658162439
224118000,2523331.36974471,985876.055732429
224154000,1904751.71328178,723148.514156061
224156000,2912612.91018883,634582.84875616
224166160,1064969.03599095,588420.652443193
224196000,2620298.87778794,1719342.14075616
224256000,1939828.52388758,509805.740951457
224313000,1617896.38760225,974300.798814125
224318000,1597743.60466691,429345.909318314
224342000,2004640.87661031,1585869.82333114
224366000,1439475.60428378,726714.188983798
224392000,964023.643217369,441367.768869353
224406000,1310448.7460998,477782.856776613
224456000,2419465.02454868,880593.209536108
224544160,2367288.57945172,1454307.71441621
224581000,1466567.94864884,881412.502291382
224591000,1732987.55814527,1236751.39191708
224619000,2785619.12285746,1303517.51805716
224626000,1493465.93374792,726076.242899756
224696000,1325813.90143237,872043.437232234
224892000,2522132.76329931,1031847.30838359
224900000,2127434.44704983,1072763.48897146
224918000,2166670.81810755,1575890.52957469
224987000,1959738.951377,393777.967857345
224992000,1819188.10130544,1559662.15771682
225983597,2265705.62491047,1703334.95557077
228966000,1132031.57751959,411622.622624905
263821000,1791923.92426179,937702.644399637
303114000,1670331.7492946,977715.865418095
303174000,647775.827267442,526587.92817838
303513000,342480.865323162,132541.019176755
303835000,1327488.13906145,617234.316554763
338077000,386799.202256426,156658.111786508
338081000,400797.310383395,131127.314839014
338230234,1696715.82176275,1225745.17915964
338502000,960090.557150869,669830.441761972
354153000,1120247.41004095,392402.086886943
359002003,3965711.3659374,975346.293812519
366135000,1565229.49077417,1017724.05308101
366721530,1302876.41237148,908684.314848437
366827010,1263904.87232092,608623.31594977
366909230,1271451.62764168,296597.361874157
366909880,1526328.35838509,967314.079489385
366920620,1638917.96952951,684148.11629348
366928330,336850.063855053,165380.205315955
366937120,1038166.68396937,522606.227779846
366981180,591182.327612227,333823.089848686
367003760,1631036.80791819,862068.589658381
367018980,1270687.72162642,753052.838608783
367045610,1435096.29801512,1063651.01302815
367045620,1007083.00978274,627472.075302162
367107250,1187303.35738036,1005325.37789441
367111320,1257983.60548583,465988.648973836
367114110,1466144.51204014,1145036.07319658
367128410,1241967.56499241,392593.543355044
367128430,1349423.72667092,711222.29878145
367131270,989095.856955679,508875.31398433
367132820,1060781.78646688,840206.384554095
367132830,1777769.09783211,758597.310363628
367135280,866411.823374988,596309.359749886
367137680,2060515.37258865,838702.481842647
367140060,263040.746612204,81438.5589748368
367140260,1923713.0982426,858471.842749852
367148380,338669.770134727,184387.082572996
367150430,1363553.62128812,891731.76231701
367151660,1221660.27178607,766730.782192141
367159690,1179859.01571554,452105.201073731
367161340,1787113.44492535,895881.836071976
367179270,1484324.55735729,223505.574452199
367183810,1148862.71517654,678352.277450359
367306510,1792757.40995366,833732.44918055
367320820,1785680.16985627,1476900.60444649
367330610,1773123.84026488,1269721.67469916
367338850,1551519.42093858,531433.95399455
367341510,1427718.20402555,771895.250436714
367343000,1188748.82321959,729484.504356161
367358280,742084.56484882,627687.490957794
367359000,1149959.59599035,879059.131280558
367361970,925178.804175421,678600.379571299
367363390,1938825.27120453,613229.20207037
367370380,890490.924275769,289779.917055333
367373170,369910.932408552,202886.654009434
367385940,847519.224353479,462017.386279243
367396870,1095810.95552212,221890.658020936
367403980,475712.284874639,189563.245885922
367418820,1002867.73288388,343132.315419556
367420020,1055882.5845091,444714.912157077
367423310,1324304.44077385,690691.696800692
367433150,2145331.26366958,970272.437234624
367439590,1193606.00960208,909928.832227899
367442170,896538.651670298,756844.797070674
367445940,1012687.05011116,553243.408877918
367449780,1422137.05241306,587804.443356022
367460990,776862.216448061,642348.561451832
367467330,1380758.20687693,754262.20663657
367471530,1173420.67311374,767294.330706346
367477330,1600031.6742528,832299.589286329
367479170,1225310.92019795,835095.4966666
367479450,1559394.64577283,666468.327802915
367480150,1603335.89571823,967708.012346189
367482650,1736417.87282417,611800.739880552
367485680,936763.385091565,831062.885968233
367490140,2048623.05345431,1307298.41407759
367492480,1725681.08563378,877949.931494793
367507280,1387554.6904821,913666.991486876
367511170,1100250.46276359,897583.744514263
367513810,1953594.47083063,1013477.39934749
367514890,1642006.48739488,885667.62472342
367516940,1106369.33201466,654406.163916399
367523880,1107951.47682448,519804.921340173
367556120,2148506.65917594,835313.302535736
367557620,326576.2264799,242275.681724574
367568960,1243238.07583793,893381.013721052
367571490,5504459.57386083,867793.780723578
367577170,783208.780935414,596751.224093199
367578510,1903218.20764241,1072667.8845241
367590390,865700.319986202,667356.802993263
367593450,2010853.21784814,834440.41385482
367601630,1074212.39063873,395282.616703951
367602730,748102.926799907,601385.190975768
367602740,811389.259153791,660988.531118534
367602750,922508.380241745,759912.488871512
367603420,1841033.45567981,1011406.16829897
367604540,1411081.03777778,1099632.14859037
367607880,1282024.40200865,368165.257739275
367638270,821106.037413042,357525.142844867
367638280,1190663.17714663,881676.745080361
367639430,317209.401679264,218961.217452153
367645140,926016.881730187,538725.318932296
367659170,1424748.04460276,695508.170206603
367662660,1119241.17971723,913115.868476895
367667090,1359749.06153692,384011.330161903
367667630,1448526.03092818,975525.376628706
367681130,1683639.97323869,1145732.20909139
367682040,951660.151340986,893418.92472306
367692620,1020141.91107315,782176.338879868
367705430,806426.96729731,456000.094832706
367707220,1970310.86647095,553570.399921162
367707290,1620223.74600918,1037058.54186787
367711290,46237.8018534696,17282.9698010995
367711550,989108.940208253,590160.048587428
367716130,1635856.85478507,955676.784234884
367719270,1131623.17299635,527570.659683583
367722830,996285.240376736,774578.92506715
367729830,869367.028534612,472361.009729813
367732990,976629.55146176,903415.047246706
367733060,1273797.2671787,622636.721543249
367738010,165510.708752211,73871.9151667226
367743820,946141.27629836,481915.673937411
367754830,1013909.3388372,463764.878106287
367755180,1442000.20314872,890305.823049355
367755410,2476644.10420598,797839.243478442
367756070,555267.568453441,321973.423076569
367756640,1182885.69122756,874625.731729925
367761510,2417593.09575251,1206273.07112461
367762610,1981100.83373447,919683.800093131
367762810,1315223.2293395,1198159.78893798
367776630,1869354.84623465,970207.469064168
367789570,1396023.96700903,1086606.19889651
367798710,205985.864022161,53692.2539513988
368001140,1260063.27128413,320561.80395565
368001590,1434620.1949466,1012531.86425043
368003650,1083589.96793617,282170.728721912
368012840,2813673.03773434,908380.56847893
368013420,1572199.58369189,1085022.49880803
368014640,1446564.64730715,692283.371852973
368017310,1765057.45878161,699410.167060789
368017650,1254665.39870997,376056.204320023
368025960,665029.713567764,345532.563937654
368030050,1005871.72875423,643647.875011647
368059350,95533.3424884511,14310.5365681017
368063530,550114.6706597,108919.039369115
368144000,1360836.21458456,1036578.98007034
368492000,862015.785804217,514318.430737092
369004000,1686771.9053053,67847.824778593
369059000,502722.73326503,294478.080690225
369060000,436823.515182604,318344.223454144
369188000,321714.295725628,98176.8534408638
369189000,126789.567188402,90588.3210306898
372702000,4507952.39980749,767461.084645323
412002099,704464.500243015,195769.660432001
412002127,802025.847741626,112136.955895307
412002142,180142.058573224,57245.1484924019
412002275,188887.433837636,94909.9706441702
412004811,1810908.95781137,1008172.21089292
412005168,370036.265543561,165391.093982088
412005429,574327.371241924,210196.72416297
412200078,1975848.06047738,576873.909680095
412200079,2783998.90869559,764875.762718901
412200115,1430522.31403548,698488.63847526
412200116,4062438.54363766,896201.625947785
412200417,2992418.49012073,425013.735995455
412200461,9650.23691538318,4464.71190568007
412201817,2586679.53816954,704758.775725234
412205130,3277002.60729912,757585.733009072
412205140,3090401.60171058,558684.213745748
412205520,1733843.06663097,598253.516680562
412209076,2867505.98578161,717558.305826193
412209077,2656694.18448687,845471.77405646
412209186,792999.150436672,401832.1026772
412209233,1104882.76949971,611482.354365566
412209234,1093411.82493893,756769.539116641
412270001,2950301.38198363,830474.187955684
412270059,2675822.16483784,741537.192893669
412300365,493692.598441857,409909.614856196
412302021,2848343.88601671,655887.111649562
412320013,1792005.86204096,1905.5000954452
412320019,2301456.60833738,692559.384714132
412320023,644538.714530807,509179.567772187
412320026,753745.747336378,453718.016799841
412321680,849240.861849589,500207.322512964
412324210,1100165.53162673,667393.355126422
412326799,4243062.79789107,1449605.07117516
412326855,2298697.96023906,159604.36533345
412326858,369032.068134433,95272.2278441735
412326862,1325634.47528442,368121.311841501
412326873,3550013.0031774,1298196.45976012
412326875,2679134.19564863,671868.286865233
412326876,2043694.84346456,714771.825946331
412326877,1008779.74179475,341874.300189689
412326881,1900662.13967859,784669.338057211
412326882,1763278.63023764,1043965.70190407
412326893,573302.745444417,413476.235388369
412326894,767865.637626134,493705.755832955
412326895,732870.764180741,431473.104119627
412326901,681799.672819371,446620.246509075
412326902,789849.391422892,431207.462520943
412326903,844171.811984223,513959.210843719
412326904,751715.456800852,497579.828125675
412326905,635317.985559803,425824.567748807
412326906,570833.309461841,485605.494249515
412326971,497628.656563863,117133.05703818
412328714,935842.799702139,468666.37695608
412328724,1113345.86134841,431431.615102075
412328725,1291128.82114503,423653.625408897
412328726,952756.497871409,258445.663803388
412328728,4248684.77499792,382439.697009615
412328742,1057923.83971348,25357.4614757624
412328755,714625.156747164,396501.753074217
412328756,718961.958650207,478111.923601851
412328757,806488.848659844,465209.307032487
412328758,520719.38233543,319944.460816083
412328759,1069041.60647736,479408.147872364
412328761,1121980.93536459,529404.493075512
412328792,1913942.14186437,206536.795848622
