"mmsi","length","tonnage"
"431603370",21.81,13
"876",23.49,146.88
"200023459",21.06,45.67
"33004580",37.02,118.78
"100901039",32.87,260.91
"200000216",25.89,69.19
"800202528",22.28,84.4
"200995958",19.68,31.05
"200016069",19.31,52.26
"200016052",25.07,84.52
"200005873",21.48,36.56
"111111126",22.23,113.16
"200023437",25.62,70.84
"200042240",20.59,41.62
"200012314",23.29,42.75
"150443127",66.17,1336.5
"200601254",21.22,39.27
"888888818",17.54,38.67
"200020789",19.93,36.37
"200042058",35.5,156.69
"200023608",22.01,37.22
"32004580",39.16,223.91
"200020753",21.05,38.17
"200041771",20.56,38.97
"454045000",33.48,288
"200015925",20.14,44.57
"98344746",48.94,401.45
"200021405",27.46,102.7
"600014098",30.25,169.81
"700058279",37.38,396.38
"100902573",38.91,346.08
"900028964",35.72,405.64
"200021441",24.21,59.5
"200016065",23.71,49.98
"200020783",21.62,46.14
"200023583",18.77,32.89
"200021422",21.56,54.37
"900017748",19.85,38.65
"200021400",24.15,74.41
"200008650",39.39,265
"200004544",37.96,195.51
"200033044",26.62,84.61
"79050",27.72,264.89
"98345923",39.39,217.61
"12000001",26.6,84.84
"718",24.59,45.23
"200023344",20.02,39.86
"201707002",21.29,66.55
"201601565",23.96,58.56
"201601318",21.67,52.33
"201941909",49,458.13
"201601323",24.54,77.52
"201700001",23.08,45.04
"201601321",25.34,105.16
"201601542",22.48,55.13
"201601665",22.01,54.58
"701000168",21.94,50.94
"503007240",21.5,147.5
"503085560",24.02,99.75
"503042740",21.4,130
"503798900",23.78,149
"503074950",22,65
"503335600",23.4,145
"503337100",21.81,70
"503798800",21.1,138
"503597400",25.34,183.67
"503012780",23.5,172.5
"503005970",19.76,59.25
"503555500",22.43,61.5
"503079770",21.6,66.5
"503586100",23.15,119.06
"503070290",21.69,67.5
"503179400",22.2,54
"503798700",21.1,160
"503798600",18.52,90
"503014150",21.09,75
"725002103",13.94,18.51
"412326905",33.74,223
"412482984",39.21,328.16
"412420901",44.3,462
"412460278",42.24,362
"412326854",38.22,392
"412685210",55,699.5
"412007971",37.13,491.03
"412440562",47.2,608
"412695650",52.6,634
"413328727",35.24,248.24
"412460285",41.02,302
"412549008",34.81,215
"412329557",40.03,276
"412695760",52.73,621.5
"412005168",28.96,125.71
"412420195",41.45,298
"413321670",31.93,157
"412329417",40.03,276
"412421094",44.3,460
"412354266",45.9,424.5
"412676430",50.62,606
"412699470",27.2,117
"412460283",41.02,302
"412328728",36.34,255
"412687110",25,119
"412500156",34.85,225
"412336913",37.38,329
"412420436",39.28,299
"412674190",51.46,577
"412200115",37.25,242
"412421288",44,455
"412691230",44.1,490.8
"412420946",46.56,498
"412331063",37.56,276
"412421156",44,455
"413322690",35.26,190
"412329588",40.03,276
"412695620",52.6,634
"412996000",48.6,523
"412420582",42.47,394
"412328715",41.62,370.26
"412468636",30.42,149
"412331027",55.4,698
"412460288",41.02,302
"412658760",31.82,97
"412330103",40.17,316
"412420793",42.3,396
"412440579",45.83,475
"412300365",37.41,255
"412446789",40.17,443.41
"412331033",55.4,698
"412685220",55,699.5
"412329423",40.03,276
"412420585",42.47,394
"412331011",40.87,307
"412000405",24.68,60.2
"412460281",41.02,302
"413322610",32.74,190
"412499944",39.69,315
"412460084",36.34,277
"412002527",25.56,83.65
"412326799",38.76,271
"412475114",30.46,159
"412420906",44,461
"412475079",30.46,159
"412695430",55,699.5
"412421189",44.12,496
"412328724",38.8,276
"412679230",55,699.5
"412421026",39.27,317
"412549089",52.11,620.4
"412329428",47.08,474
